id,zonepolygon
33163,"POLYGON ((-73.0613313009065 -36.764699417661596, -73.07369092004713 -36.78642417985622, -73.08819630639967 -36.81116640556823, -73.11870911615308 -36.79797154649819, -73.11926701562818 -36.78601174171481, -73.11540463464674 -36.77528757088086, -73.14390042322096 -36.72673506444614, -73.13729146020826 -36.71256239619873, -73.11385968225416 -36.70526864506968, -73.0613313009065 -36.764699417661596))"
33162,"POLYGON ((-72.11521305512528 -36.58851649737465, -72.14164890717606 -36.622278258581396, -72.0829407162581 -36.639635695119715, -72.06560291718583 -36.599680184214144, -72.11521305512528 -36.58851649737465))"
13892,"POLYGON ((-73.08823227882385 -36.811002657591814, -73.06930661201477 -36.779282986646265, -73.04051041603088 -36.788185065063146, -73.02677750587463 -36.811140092369065, -73.03776383399963 -36.82811139050386, -73.06213974952698 -36.83814123822702, -73.08823227882385 -36.811002657591814))"
