id,zonepolygon
111878,"POLYGON ((-64.66608201299765 17.748483223034473, -64.66741238866904 17.762583762787084, -64.65466653143028 17.766343719022977, -64.56603501231093 17.761439412590565, -64.56294510752578 17.747461401619837, -64.60656855494399 17.743047066090377, -64.66608201299765 17.748483223034473))"
111877,"POLYGON ((-64.83228064603496 17.76282773068791, -64.83102537221599 17.760825115770913, -64.79839898175884 17.77387236207046, -64.7604618174522 17.771788136037756, -64.71198376533133 17.737006584348247, -64.68838032600027 17.739949586059176, -64.66623600837332 17.74828782826711, -64.66769513007742 17.762756209112688, -64.75077923652273 17.78376188761607, -64.79882554979936 17.783429861806503, -64.83228064603496 17.76282773068791))"
111876,"POLYGON ((-64.88894981536802 17.731545264402722, -64.88579924336119 17.732294203477185, -64.8726613891891 17.69799699433958, -64.88480643160854 17.694767109421196, -64.88627730866895 17.713116248635906, -64.88894981536802 17.731545264402722))"
