id,zonepolygon
15145,"POLYGON((32.56581222004625 0.4028701758641533,32.60460769123765 0.40836320227426054,32.63516341633531 0.40836320227427325,32.68031035847398 0.38690604702280246,32.668465723464216 0.3197877288381409,32.67086898274156 0.27206650394260207,32.6348200935814 0.2116422403836677,32.61593734211656 0.22571837073336753,32.577828516432966 0.2758430110653998,32.5414363045189 0.2679466766429749,32.50779067463609 0.3070849770453837,32.56581222004625 0.4028701758641533))"
15144,"POLYGON((33.194833793856795 0.7019024415548125,33.321176567294295 0.6607066246083483,33.38572124502867 0.6098979822237567,33.37198833487242 0.5481030449134616,33.285471000888045 0.3833136235439262,33.194833793856795 0.40940552828001936,33.046518364169295 0.5947926158660626,33.04789165518492 0.6689458160054479,33.194833793856795 0.7019024415548125))"
15146,"POLYGON((32.49726290633404 0.08694523827991882,32.494001340171934 0.07887716201718303,32.48820970971276 0.04270148879903317,32.43911455590417 0.016437301852788015,32.41928766686608 0.030341872193279527,32.404267296382685 0.047679667180685954,32.46361727645123 0.11114945608424597,32.49726290633404 0.08694523827991882))"
