id,zonepolygon
103188,"POLYGON ((9.150046293810536 45.739598097579844, 9.100607817248036 45.68925690700149, 9.041556303576161 45.745348489078715, 9.092368071154286 45.78941514723394, 9.150046293810536 45.739598097579844))"
11558,"POLYGON ((9.081517966903675 45.790722374301836, 9.097997459091175 45.790482981292925, 9.120656760848988 45.797664324284696, 9.1213434063568 45.816810048132005, 9.094564231552113 45.829729691707485, 9.064695151962269 45.82542347698216, 9.050790580429057 45.81800643737951, 9.05817201963805 45.80915254825476, 9.081517966903675 45.790722374301836))"
26838,"POLYGON ((9.9878339044642 45.149799632888005, 9.988520549972012 45.11249936830602, 10.065424846847012 45.112014788823174, 10.062678264815762 45.157547276097375, 9.9878339044642 45.149799632888005))"
105182,"POLYGON ((8.45980701767223 45.70548527908709, 8.45379886947887 45.69985067428863, 8.459120372164417 45.689299248904014, 8.470508714860848 45.69757269414052, 8.464157243913583 45.707762936861656, 8.45980701767223 45.70548527908709))"
105165,"POLYGON ((8.45872942872048 45.14603488406304, 8.434696835947042 45.13586383221571, 8.447056455087667 45.12399531179057, 8.469372434091573 45.13271528177573, 8.45872942872048 45.14603488406304))"
103184,"POLYGON ((8.741140880709528 45.65085812461454, 8.769979992037653 45.66105687783799, 8.80225233090484 45.667415160274864, 8.831434764986872 45.649658149177995, 8.814955272799372 45.62709382603287, 8.74732069027984 45.62085102602222, 8.741484203463434 45.64869815031847, 8.741140880709528 45.65085812461454))"
11562,"POLYGON ((10.640403201130766 45.469409659249884, 10.64005987837686 45.45110825990358, 10.572425295857329 45.45592499357642, 10.569678713826079 45.491796710386964, 10.601264407185454 45.51609945351907, 10.640403201130766 45.469409659249884))"
11550,"POLYGON ((9.433931142444408 44.2998260447607, 9.36869981920222 44.28680174110971, 9.394792348499095 44.24648182492141, 9.41539171373347 44.246727761873004, 9.438737660999095 44.267628644448344, 9.433931142444408 44.2998260447607))"
105164,"POLYGON ((8.360277102151317 44.77973920401401, 8.352123186746043 44.77657105206585, 8.358989641824168 44.77120916814919, 8.367315218606395 44.775047840215066, 8.360277102151317 44.77973920401401))"
11545,"POLYGON ((9.232949430694703 45.986311190729246, 9.227245146379232 45.98996144526189, 9.225192810588396 45.99284186918069, 9.220901276164568 45.99141071341434, 9.217639710002459 45.98836938453286, 9.216008926921404 45.980198712867654, 9.226051117473162 45.98085479672407, 9.232949430694703 45.986311190729246))"
103193,"POLYGON ((8.631250153096545 45.47853004601312, 8.585244904073107 45.472270722500134, 8.593827972920764 45.421207214976526, 8.621980438741076 45.416146521132056, 8.649446259053576 45.421207214976526, 8.631250153096545 45.47853004601312))"
105166,"POLYGON ((7.893441357113966 45.19520156030762, 7.880910076596388 45.19399186065649, 7.883484997250685 45.184918293614245, 7.896531261899122 45.186249173963205, 7.893441357113966 45.19520156030762))"
103187,"POLYGON ((8.696400147958183 45.6892601006683, 8.73416565088787 45.693576836517586, 8.771587831063652 45.70412745486628, 8.807980042977714 45.701489986916926, 8.803173524423027 45.67103020947699, 8.77364776758709 45.663112749378065, 8.713909608407402 45.67990603001936, 8.696400147958183 45.6892601006683))"
78306,"POLYGON ((9.808564021015078 46.517968263929106, 9.787621333026797 46.47235294510437, 9.859375788593203 46.46549552318062, 9.895081354999453 46.53119663527687, 9.816117121601016 46.534030867201935, 9.808564021015078 46.517968263929106))"
105175,"POLYGON ((9.03686585552708 45.451593347217475, 9.032917643857159 45.450750383778384, 9.033947612118878 45.446655810717495, 9.035235072446026 45.446655810717495, 9.0433889878513 45.44918484682284, 9.04064240582005 45.452857768753034, 9.03686585552708 45.451593347217475))"
105247,"POLYGON ((9.726966050108317 44.10690208555043, 9.72939076705778 44.1076262345394, 9.731279042204264 44.10434438195099, 9.730184700926188 44.10354315083152, 9.728532460173014 44.105854364927374, 9.727481034239176 44.105900588287604, 9.727030423124674 44.105669471125005, 9.72662272735441 44.10602385040486, 9.726966050108317 44.10690208555043))"
105256,"POLYGON ((12.230215010391436 45.508918086109034, 12.24360459779378 45.502902765188885, 12.258710798965655 45.51252697012539, 12.275190291153155 45.49809004564777, 12.274503645645343 45.481242287600814, 12.264203963028155 45.470168159788855, 12.236738142715655 45.480038683474355, 12.231244978653155 45.4634263208381, 12.21339219545003 45.45981428971571, 12.212362227188311 45.47402027716561, 12.193136152969561 45.47161273465937, 12.18592637513753 45.48076084903564, 12.205495772110186 45.49496155734169, 12.230215010391436 45.508918086109034))"
105159,"POLYGON ((8.856283692292001 44.89758264170607, 8.856970337799813 44.884813255227385, 8.879114655426767 44.899041819640225, 8.870188263825204 44.905242912745635, 8.856283692292001 44.89758264170607))"
105246,"POLYGON ((9.71114578852844 44.11957598224745, 9.717540174819943 44.11800473134768, 9.718248277999875 44.1178814942159, 9.718741804458615 44.11857469973874, 9.708463579513547 44.12122421034368, 9.707304865219113 44.1191292583015, 9.71163931498718 44.11942193988895, 9.71114578852844 44.11957598224745))"
105253,"POLYGON ((11.591606524793665 44.872822773942275, 11.611175921766321 44.86187304767057, 11.61495247205929 44.85019104380716, 11.61769905409054 44.843375447122554, 11.621818927137415 44.84970424221614, 11.652374652235071 44.84580968136957, 11.649971392957728 44.824384889848176, 11.64791145643429 44.816348539435936, 11.633148578016321 44.8204886174159, 11.623878863660853 44.813913060587645, 11.588173297254603 44.810016080483145, 11.581650164930384 44.81732270217465, 11.60121956190304 44.83582866728241, 11.578560260145228 44.848243812756664, 11.575127032606165 44.855302212105826, 11.552811053602259 44.86065628284279, 11.560364154188196 44.867469834668285, 11.583366778699915 44.86527985238419, 11.591606524793665 44.872822773942275))"
103183,"POLYGON ((8.889686778084721 45.590523422660674, 8.932945445076909 45.542933583104045, 9.001609995858159 45.57466462256705, 8.936378672615971 45.6092598654868, 8.889686778084721 45.590523422660674))"
105174,"POLYGON ((9.14043007332352 45.33062100787968, 9.128070454182895 45.327965975188704, 9.128757099690707 45.319275907139556, 9.137340168538364 45.31565465203216, 9.146953205647739 45.3187930864964, 9.150386433186801 45.323621107788995, 9.14043007332352 45.33062100787968))"
103182,"POLYGON ((8.809092581356417 45.61677287361153, 8.846171438778292 45.574492565288274, 8.932548889276113 45.60912294349814, 8.860107788201894 45.640336520748036, 8.809092581356417 45.61677287361153))"
104966,"POLYGON ((9.068923165856173 45.83990682954821, 9.074416329918673 45.84469024697167, 9.077592065392306 45.844032551462824, 9.080424478112032 45.84074395728573, 9.077592065392306 45.83829233334321, 9.075961282311251 45.83428578855094, 9.073434641419222 45.83228988341399, 9.068612029610446 45.83068264185772, 9.066970517693331 45.835003399869166, 9.068923165856173 45.83990682954821))"
105162,"POLYGON ((8.883272357890641 44.696713770692625, 8.874860950419938 44.69207668285538, 8.886877246806657 44.684632160160255, 8.89305705637697 44.689147804489046, 8.883272357890641 44.696713770692625))"
11528,"POLYGON ((9.656366982528652 45.03127285184406, 9.689669289657559 45.02011063148483, 9.73807779795834 45.02205204354882, 9.753527321884121 45.040006984326176, 9.753527321884121 45.06280648987071, 9.700998940536465 45.071050881275745, 9.663233437606777 45.06595889757813, 9.652247109481777 45.06450396177556, 9.656366982528652 45.03127285184406))"
105233,"POLYGON ((9.113232828208861 45.85715675116549, 9.118811822959838 45.85895002466992, 9.120185113975463 45.85718663953114, 9.113962389060912 45.85563242321501, 9.113232828208861 45.85715675116549))"
103200,"POLYGON ((9.861566446206194 46.179195502460615, 9.883539102456194 46.178244620392285, 9.893495462319475 46.17063697186288, 9.879762552163225 46.1599369355292, 9.855043313881975 46.1561319766154, 9.836503885171037 46.16326605874677, 9.861566446206194 46.179195502460615))"
11552,"POLYGON ((8.53095037903745 45.87570639569793, 8.54142172303159 45.874869794151714, 8.557557892465184 45.8884928802645, 8.524598908090184 45.8925552592578, 8.5062311407562 45.89016566053995, 8.53095037903745 45.87570639569793))"
105176,"POLYGON ((9.024495513742963 45.50789139534679, 9.016770751780072 45.50716957760957, 9.02157727033476 45.488038034877555, 9.037026794260541 45.48984317508385, 9.031361968821088 45.50885380459806, 9.024495513742963 45.50789139534679))"
105255,"POLYGON ((12.223618718683866 45.66886713007358, 12.243874761164335 45.68206091828253, 12.268593999445585 45.677503415862084, 12.273743840754179 45.6638286812397, 12.25623438030496 45.654230381267794, 12.23426172405496 45.64919061512769, 12.22104379802957 45.658309859796766, 12.223618718683866 45.66886713007358))"
103191,"POLYGON ((8.850442992280723 45.340906813699576, 8.809930907319785 45.31966692505461, 8.846323119233848 45.27571370198878, 8.86898242099166 45.27957908752784, 8.894388304780723 45.33077058769432, 8.869669066499473 45.34862843476727, 8.850442992280723 45.340906813699576))"
105257,"POLYGON ((8.954514350289227 46.004957831081704, 8.950566138619305 46.00328851131944, 8.949364508980633 45.999830474431974, 8.948162879341961 45.998041749853634, 8.939579810494305 46.00221535058747, 8.945416297310711 46.01223070788466, 8.955715979927898 46.008177091233556, 8.954514350289227 46.004957831081704))"
105239,"POLYGON ((9.196570394388134 45.970500633947424, 9.195368764749462 45.97270781706954, 9.19768619333833 45.9744973604338, 9.199316976419384 45.97515351184538, 9.200003621927197 45.97634649449403, 9.201462743631298 45.97718156705632, 9.199574468484814 45.97956741927187, 9.196827886453564 45.981833883656904, 9.195197103372509 45.98064101922992, 9.195111272684032 45.97688332830116, 9.189875600686962 45.97765874572355, 9.186614034524853 45.978434152287534, 9.182065008035595 45.9750938620383, 9.178803441873486 45.97300607831263, 9.177258489480907 45.970321669298635, 9.183781621805126 45.96739849817884, 9.187987325540478 45.96692123110173, 9.196570394388134 45.970500633947424))"
105171,"POLYGON ((8.946060670481373 45.1637000965615, 8.93988086091106 45.15377431078162, 8.947090638743092 45.1450575610435, 8.976273072825123 45.15910055715277, 8.964943421946217 45.16805721242575, 8.946060670481373 45.1637000965615))"
105242,"POLYGON ((9.360406375201338 46.444048488268535, 9.362809634478682 46.443161340280895, 9.362981295855635 46.44120956385625, 9.361522174151533 46.440618102650305, 9.361951327593916 46.43801559706611, 9.360406375201338 46.43600448488478, 9.359033084185713 46.43352006736182, 9.356801486285322 46.43186372608944, 9.353024935992353 46.433934144814444, 9.35534236458122 46.43564957503022, 9.360406375201338 46.444048488268535))"
103186,"POLYGON ((8.714666113808125 45.67155027294732, 8.704023108437031 45.64011404668103, 8.689603552772969 45.62282860558578, 8.660077795937031 45.63075176117371, 8.658017859413594 45.64275440851249, 8.694410071327656 45.68690201247388, 8.709172949745625 45.67850705179542, 8.714666113808125 45.67155027294732))"
103199,"POLYGON ((8.781835590182858 44.767393221743454, 8.790246997653561 44.77458338188884, 8.798315082370358 44.7756801072923, 8.808099780856686 44.76081161265385, 8.806898151218014 44.75349783423094, 8.797971759616452 44.75398544825931, 8.781835590182858 44.767393221743454))"
105254,"POLYGON ((11.87262971401573 45.42924248328656, 11.892199110988386 45.436229320205086, 11.914858412746199 45.4282787137618, 11.928171682920166 45.391706069387496, 11.904139090146728 45.375308857197226, 11.86362700518579 45.36759087640944, 11.850580740537353 45.37772051020277, 11.843027639951416 45.391706069387496, 11.838221121396728 45.3970100315673, 11.846460867490478 45.410026737315604, 11.87262971401573 45.42924248328656))"
105183,"POLYGON ((8.060140773033794 45.56814112239441, 8.035078211998638 45.559007205204175, 8.05224434969395 45.54506310005705, 8.070612117027935 45.55107391443139, 8.060140773033794 45.56814112239441))"
105985,"POLYGON ((9.240852746348835 45.51140633244155, 9.248577508311726 45.53738398379322, 9.265915307383992 45.55048852232969, 9.292351159434773 45.56178723095308, 9.304539117198445 45.54507876197553, 9.288059625010945 45.53437792503305, 9.298359307628132 45.51345130471984, 9.274670037608601 45.51020337286178, 9.262310418467976 45.515135343743914, 9.249435815196492 45.51092515169499, 9.240852746348835 45.51140633244155))"
103162,"POLYGON ((9.025102690617501 45.53812814340536, 9.047418669621408 45.5388495640492, 9.057718352238595 45.525381519165855, 9.049135283390939 45.515278368972716, 9.032655791203439 45.51359433422867, 9.025102690617501 45.53812814340536))"
105187,"POLYGON ((10.169004647653574 46.22135754070401, 10.160850732248301 46.220051076525166, 10.161580293100352 46.213666770386624, 10.166086404245371 46.2081133052088, 10.174411981027598 46.211914668210504, 10.179990975778574 46.21476551780915, 10.180055348794932 46.21700748827379, 10.179261414926524 46.21853672687304, 10.177995412271494 46.21988776631697, 10.176042764108653 46.22052615800526, 10.172266213815684 46.21927906035258, 10.172008721750254 46.2218029191141, 10.169004647653574 46.22135754070401))"
26836,"POLYGON ((8.497003437010227 44.96866173073178, 8.491510272947727 44.838320326908836, 8.730462909666477 44.838320326908836, 8.727716327635227 44.97449100073111, 8.497003437010227 44.96866173073178))"
103180,"POLYGON ((9.081770870909445 45.541998088033864, 9.108893368468038 45.54945180860062, 9.16004845880007 45.549692234744704, 9.161421749815695 45.534543379145724, 9.177901242003195 45.52107430297958, 9.16730115197634 45.51969113489989, 9.16202256463503 45.51734568522679, 9.166442845091574 45.51626313701848, 9.166228268370382 45.508925316894384, 9.130780194029562 45.509165916330346, 9.095160458311788 45.5066395709582, 9.056708309874288 45.528771312852435, 9.081770870909445 45.541998088033864))"
11546,"POLYGON ((9.239753004074146 45.51168678751035, 9.247349020004322 45.53783299462636, 9.231813665390067 45.543544017956634, 9.221943136215259 45.54294288492374, 9.209111448288017 45.53987700647349, 9.202116247177177 45.538975245700406, 9.190099950790458 45.508555273840905, 9.239409681320243 45.51084472270024, 9.239753004074146 45.51168678751035))"
11531,"POLYGON ((6.961870839364565 45.76196372489228, 6.90281932569269 45.76220324036501, 6.8873698017669085 45.795485886303524, 6.930628468759096 45.820614281876594, 6.970110585458315 45.82276761688761, 7.00169627881769 45.80003376935776, 6.999636342294252 45.77896676826758, 6.961870839364565 45.76196372489228))"
103171,"POLYGON ((9.073164819190982 45.43239561305433, 9.041579125831607 45.42902253616404, 9.06149184555817 45.41311817272383, 9.081404565284732 45.421070914463904, 9.073164819190982 45.43239561305433))"
103170,"POLYGON ((9.096181043130724 45.33856173347318, 9.109913953286974 45.33445902397861, 9.106824048501817 45.31430316463263, 9.093606122476427 45.318045213502764, 9.096181043130724 45.33856173347318))"
103189,"POLYGON ((9.454746208052534 45.626434937309604, 9.472598991255659 45.548589483958374, 9.586582145552534 45.5822396540264, 9.549503288130659 45.6609982643111, 9.454746208052534 45.626434937309604))"
105160,"POLYGON ((9.01310967615473 44.933357886026556, 9.005728236945746 44.92825365016766, 9.014654628547309 44.92278432265663, 9.023924342902777 44.92898285449143, 9.01310967615473 44.933357886026556))"
103192,"POLYGON ((8.903475737842852 45.411213412365335, 8.920641875538164 45.40976729021584, 8.930941558155352 45.40470557111002, 8.934031462940508 45.399161263090996, 8.92647836235457 45.38035477587355, 8.909655547413164 45.377702075497204, 8.902445769581133 45.381801650896826, 8.89454934624129 45.390482123474044, 8.89077279594832 45.39940233127505, 8.903475737842852 45.411213412365335))"
103185,"POLYGON ((8.744042114993142 45.617733073731955, 8.741638855715799 45.58963030847009, 8.774597840090799 45.58458473225939, 8.772537903567361 45.621334974257685, 8.744042114993142 45.617733073731955))"
103164,"POLYGON ((9.16777174818522 45.518682610584825, 9.177213123917642 45.519644835312825, 9.180131367325846 45.509059458271125, 9.168115070939127 45.50857825746047, 9.16777174818522 45.518682610584825))"
103167,"POLYGON ((9.26872163383809 45.40957246585201, 9.24503236381856 45.403787587037634, 9.268034988330278 45.38341527803953, 9.305285507129106 45.399810139201236, 9.281767898486528 45.41644123999082, 9.26872163383809 45.40957246585201))"
105188,"POLYGON ((10.62342899411532 44.71879114112948, 10.618622475560633 44.7070801441393, 10.603516274388758 44.70341997158457, 10.615875893529383 44.675595097195774, 10.629608803685633 44.67315368103855, 10.648834877904383 44.67681576670382, 10.659477883275477 44.68853288566518, 10.651238137181727 44.70610412075302, 10.64265506833407 44.710740085267915, 10.627548867162195 44.71342389501123, 10.618622475560633 44.70634812814244, 10.62342899411532 44.71879114112948))"
11534,"POLYGON ((9.232806799105902 45.9699159776485, 9.240016576937933 45.966694491492056, 9.25580942361762 45.96359214255976, 9.268769857577581 45.963532480300685, 9.272588124241906 45.970446207222835, 9.266837468113977 45.98124268173082, 9.26898323532589 45.989353564880204, 9.266837468113977 45.99173889258694, 9.26177345749386 45.99173889258694, 9.232806799105902 45.9699159776485))"
105168,"POLYGON ((8.004084816891428 44.82671115241855, 8.001424065548655 44.82579802404201, 7.999020806271311 44.82543276864128, 8.000994912106272 44.823728212837246, 8.005629769284006 44.82488488120082, 8.004084816891428 44.82671115241855))"
78305,"POLYGON ((10.106074530570615 46.559303627877796, 10.061442572562802 46.505452994229046, 10.193278510062802 46.49765440008284, 10.210444647758115 46.55434593355901, 10.106074530570615 46.559303627877796))"
105236,"POLYGON ((9.151876457216321 45.86557693163725, 9.152949340822278 45.86521832431006, 9.152820594789564 45.863245942659724, 9.152434356691419 45.862648237434804, 9.151876457216321 45.862588466558876, 9.150889404298841 45.86249881012453, 9.148700721742689 45.86109417377668, 9.146726615907728 45.862409153545585, 9.147391803743421 45.862947090850504, 9.148314483644544 45.86270800824646, 9.149129875185071 45.86348502295046, 9.149880893709241 45.86460569810785, 9.150020368578016 45.86553957681531, 9.151876457216321 45.86557693163725))"
103169,"POLYGON ((9.180885594722623 45.39424681353492, 9.242340367671842 45.403648528276385, 9.270492833492154 45.38170876040756, 9.208351415035123 45.33635567243167, 9.18397549950778 45.33128737888325, 9.174019139644498 45.36892672900868, 9.180885594722623 45.39424681353492))"
103179,"POLYGON ((9.087534130137298 45.56654806108917, 9.216280162852142 45.60138851014998, 9.23756617359433 45.576401690963706, 9.161005199473236 45.55044206707557, 9.10744684986386 45.55020164413891, 9.087534130137298 45.56654806108917))"
78307,"POLYGON ((10.297089473719225 46.496121580472256, 10.355111019129382 46.449305204648475, 10.434761898035632 46.462077301140035, 10.371590511316882 46.507464940125764, 10.297089473719225 46.496121580472256))"
11525,"POLYGON ((9.28197763247988 46.00104872181692, 9.309958436923239 46.00546056473367, 9.309958436923239 46.021793244314566, 9.27923105044863 46.02227003839999, 9.28197763247988 46.00104872181692))"
27279,"POLYGON ((9.255500550634741 45.46189058955172, 9.263654466040014 45.44834391067853, 9.276185746557593 45.42545768619032, 9.290862794287085 45.42901168238562, 9.286013360388159 45.4650811114677, 9.255500550634741 45.46189058955172))"
103201,"POLYGON ((9.313724476337502 46.163750591295624, 9.282138782978127 46.13568477912161, 9.267032581806252 46.10353171267564, 9.280078846454689 46.08638978137919, 9.341190296650002 46.15444988798671, 9.336383778095314 46.17109514960496, 9.313724476337502 46.163750591295624))"
11563,"POLYGON ((9.23206824508668 45.986898364028214, 9.227347557220469 45.98999940754972, 9.222884361419688 45.99840713211342, 9.23232573715211 46.00132866639104, 9.23404235092164 46.00365385893188, 9.239020530853281 46.00216336213644, 9.240393821868906 45.99041684244843, 9.236359779510508 45.98850854292572, 9.23206824508668 45.986898364028214))"
103163,"POLYGON ((9.072954521360591 45.51236338727956, 9.081365928831294 45.51356630069223, 9.092867241087154 45.50682965442006, 9.085829124632076 45.49876867890872, 9.075529442014888 45.49804674419672, 9.072954521360591 45.51236338727956))"
78304,"POLYGON ((7.615376427171601 45.94240487613326, 7.610569908616913 45.915898384933236, 7.668934776780976 45.91852571977399, 7.673397972581757 45.945985862880484, 7.615376427171601 45.94240487613326))"
103174,"POLYGON ((9.203468200276808 45.56331734620152, 9.208017226766065 45.552319464059465, 9.211965438435987 45.54143965995612, 9.2216213908896 45.54333325787417, 9.231963988851026 45.54462567697428, 9.24586856038423 45.53909511702617, 9.247483454520085 45.53820475311101, 9.264477930838444 45.55106868111783, 9.236926279837467 45.57576638081791, 9.202609893392042 45.564098534629856, 9.203468200276808 45.56331734620152))"
105240,"POLYGON ((9.230586612812761 46.0311673915861, 9.235908115498308 46.03003518116793, 9.237453067890886 46.02556570304683, 9.240285480610613 46.02514853331661, 9.242688739887956 46.02127466405441, 9.238397205464128 46.01936742870554, 9.236251438252214 46.0185925955526, 9.236423099629167 46.01430101533798, 9.23436316310573 46.01412219226779, 9.232646549336199 46.01698329200273, 9.230157459370378 46.02198986034888, 9.231530750386003 46.02300303926237, 9.23084410487819 46.02538691640509, 9.229470813862566 46.025804084336386, 9.228955829731706 46.0269363814237, 9.23110159694362 46.029022131134255, 9.230586612812761 46.0311673915861))"
105180,"POLYGON ((8.629330687814427 45.6031187536248, 8.633107238107396 45.59399052541297, 8.645810180001927 45.596152608404935, 8.643406920724583 45.605880951036646, 8.629330687814427 45.6031187536248))"
11542,"POLYGON ((9.295509205184999 45.56383250125094, 9.265640125595155 45.550851284401915, 9.241950855575624 45.57128332635536, 9.217231617294374 45.60011591263985, 9.247100696884218 45.616687944126, 9.265640125595155 45.6262926770371, 9.287441120468202 45.63589576455867, 9.294822559677186 45.63205472699602, 9.344261036239686 45.58810413471903, 9.300315723739686 45.565995745836084, 9.295509205184999 45.56383250125094))"
103181,"POLYGON ((9.010852120321218 45.632009080013056, 9.054110787313405 45.64833168481238, 9.069903633993093 45.59502560196359, 9.032824776571218 45.58733766293407, 9.00879218379778 45.58925974641744, 9.010852120321218 45.632009080013056))"
105184,"POLYGON ((7.881119178715168 45.47278954632228, 7.875969337406574 45.46965965266017, 7.8798317183880195 45.46370033619032, 7.886097358646809 45.46677036577758, 7.881119178715168 45.47278954632228))"
52473,"POLYGON ((9.09295987654418 45.85556572281387, 9.091243262774649 45.856821056256244, 9.094590659625235 45.8598696052071, 9.09519147444457 45.86327660918518, 9.099525924212637 45.864606479522045, 9.101972098834219 45.86533864174674, 9.108581061846914 45.86692246989284, 9.114546294696035 45.87115077114282, 9.121477122790518 45.872906243418264, 9.126862998492422 45.87549826492513, 9.127120490557852 45.873257331219556, 9.106349463946524 45.86202142148326, 9.103774543292227 45.86124438632367, 9.102057929522696 45.85975005741657, 9.096478934771719 45.85819591274919, 9.09295987654418 45.85556572281387))"
105181,"POLYGON ((8.402551164223468 45.880993230466274, 8.40649937589339 45.87214936122564, 8.409417619301593 45.87549585565693, 8.411820878578936 45.87143222905857, 8.415254106117999 45.8771690273047, 8.414052476479327 45.88266623658513, 8.408902635170733 45.8869680209911, 8.402551164223468 45.880993230466274))"
103190,"POLYGON ((10.249472709715727 45.59403466915712, 10.229356550721812 45.483264123157845, 10.133226179628062 45.51454768269505, 10.151078962831187 45.570814290542685, 10.249472709715727 45.59403466915712))"
11540,"POLYGON ((6.694338737068051 45.023340604846595, 6.720774589118832 45.02431126434435, 6.740343986091489 45.03862658025723, 6.858257606936377 45.103498372972176, 6.847957924319189 45.134507792700845, 6.806072548342627 45.14806911446513, 6.774486854983252 45.15678540366493, 6.745647743655127 45.13692969388007, 6.720241859866064 45.13741406177268, 6.693462685061377 45.13596094575162, 6.675609901858252 45.12578809677209, 6.657070473147314 45.11512888029313, 6.633037880373877 45.105921590766016, 6.670803383303564 45.04482513799573, 6.694338737068051 45.023340604846595))"
11570,"POLYGON ((11.014545066585583 45.46313183298665, 10.989825828304333 45.46614169787467, 10.98089943670277 45.47854064628433, 10.971458060970349 45.47829991597347, 10.947082145443005 45.46963293982016, 10.94296227239613 45.43661412938534, 10.940044028987927 45.43131388568036, 10.914570739483452 45.43119341981086, 10.874316146587963 45.41028869912133, 10.85740750095808 45.38455382377335, 10.874316146587963 45.38262474275837, 10.942036559795952 45.408661782463774, 10.949932983135795 45.40468467779767, 10.955426147198295 45.40022516685803, 10.96175154272396 45.39624746822579, 10.981149278319663 45.38708564271036, 10.988874040282553 45.37828406980018, 11.011533342040366 45.38021329892253, 11.00020369116146 45.40191259077338, 11.01342161718685 45.407095077688574, 11.01942976538021 45.428491510123145, 11.0436340195306 45.428130093671314, 11.060800157225913 45.426202500178526, 11.067494950927085 45.44318715192591, 11.052045427001303 45.452701140845285, 11.014545066585583 45.46313183298665))"
103197,"POLYGON ((7.506413336260551 45.102354924474625, 7.476200933916801 45.0655086120327, 7.495427008135551 45.03155019417757, 7.544865484698051 44.98591717598532, 7.640309210283989 44.96211533661029, 7.728886480791801 44.92372013984602, 7.774891729815239 44.98640282494792, 7.790684576494926 45.02378543935289, 7.831883306963676 45.077146857056626, 7.873082037432426 45.11107820187235, 7.768711920244926 45.126582959039666, 7.708287115557426 45.162905724571885, 7.654728765948051 45.16823111740607, 7.558598394854301 45.131427331626426, 7.506413336260551 45.102354924474625))"
103165,"POLYGON ((9.274248477170444 45.473114441017536, 9.274205561826205 45.46853994879714, 9.274162646481967 45.46420587684247, 9.28506314391849 45.46540981914431, 9.28506314391849 45.47377650781794, 9.279484149167514 45.473114441017536, 9.274248477170444 45.473114441017536))"
103173,"POLYGON ((9.086918208859997 45.451504291570906, 9.100651119016247 45.42404124681745, 9.125370357297497 45.42934217348473, 9.12605700280531 45.45872918707227, 9.086918208859997 45.451504291570906))"
105170,"POLYGON ((8.732202032102858 45.26155215428562, 8.726623037351882 45.259377216649604, 8.723103979124343 45.251401732516655, 8.725936391844069 45.247896998909695, 8.732717016233718 45.24644670105629, 8.74215839196614 45.24445248104684, 8.747050741209303 45.24342512826588, 8.750312307371413 45.2514621570617, 8.74662158776692 45.25683968410752, 8.740699270262038 45.261189670465356, 8.732202032102858 45.26155215428562))"
