id,zonepolygon
31734,"POLYGON ((24.56066603378523 46.59179707953901, 24.61182112411726 46.534436133590106, 24.49646467880476 46.494271019430904, 24.452862689058666 46.561117697659874, 24.56066603378523 46.59179707953901))"
16715,"POLYGON ((23.584105482413634 46.739920028060666, 23.60813807518707 46.74321388806176, 23.641440382315977 46.769557523719754, 23.65963648827301 46.7759062950604, 23.67954920799957 46.77755215064499, 23.685385694815977 46.77496578356888, 23.694998731925352 46.77496578356888, 23.696372022940977 46.77073327858175, 23.70426844628082 46.77355498553237, 23.70976161034332 46.77919795592445, 23.698431959464415 46.79236258719804, 23.675772657706602 46.78883666236221, 23.669249525382384 46.79095224498206, 23.66306971581207 46.79165742070978, 23.659979811026915 46.80293897580041, 23.625990858390196 46.80035382833621, 23.59715174706207 46.82244108385433, 23.597838392569884 46.80035382833621, 23.57947112069553 46.797405265045754, 23.555438527922092 46.794114717401335, 23.540332326750217 46.782596216082716, 23.55749846444553 46.778364310833275, 23.542392263273655 46.77248611283761, 23.527629384855686 46.764020380464366, 23.538959035734592 46.746379164499636, 23.55097533212131 46.74520287809698, 23.569171438078342 46.73626226261339, 23.584105482413634 46.739920028060666))"
31736,"POLYGON ((25.069534735551002 46.61315180983687, 25.09906049238694 46.60407138153882, 25.07331128584397 46.573280942267616, 25.04533048140061 46.578826872002544, 25.069534735551002 46.61315180983687))"
31735,"POLYGON ((23.74414792817778 46.578583490736, 23.792213113724657 46.59486407995329, 23.855727823197313 46.5585209703465, 23.781226785599657 46.53207431843331, 23.74414792817778 46.578583490736))"
107227,"POLYGON ((23.60121374682006 46.774546759993235, 23.601160102639763 46.77591344598075, 23.602887445245354 46.77588405524919, 23.60121374682006 46.774546759993235))"
