id,zonepolygon
14746,"POLYGON ((48.150008316739864 29.170717554006497, 48.16581180431556 29.074893937692387, 48.034319189569466 29.0589895825795, 47.9661576626232 29.17245755118281, 48.15069496224768 29.171317111403493, 48.150008316739864 29.170717554006497))"
14745,"POLYGON ((47.77856226212043 29.346210924076026, 47.77856226212043 29.27076809881301, 47.779248907628244 29.17188967762794, 47.966016485753244 29.172489228178044, 48.15141077286262 29.17188967762794, 48.11539081209207 29.363393695842582, 47.97668841951395 29.409462399430687, 47.89909747713113 29.40288243336999, 47.777188971104806 29.396475141050256, 47.77856226212043 29.346210924076026))"
159875,"POLYGON ((47.63091889538718 29.330212428989608, 47.634352122926245 29.351311782739725, 47.653578197144995 29.36717083183264, 47.66816941418601 29.368367640976487, 47.67748204388572 29.35841873743894, 47.68988457837058 29.353556137787248, 47.71108475842429 29.343530969148212, 47.72910920300437 29.346523660068705, 47.75108185925437 29.36283228076238, 47.76361313977195 29.362383454584354, 47.77236786999656 29.36088735303834, 47.77796585231833 29.359870219435326, 47.77843792110495 29.336976897128174, 47.77793694027649 29.28275637852287, 47.73107338436829 29.29450918465301, 47.662237172210084 29.30057220547099, 47.64112282284485 29.315391407254943, 47.63091889538718 29.330212428989608))"
