id,zonepolygon
27489,"POLYGON ((-57.51644844165039 -37.91433080358256, -57.58633998655333 -37.90426286873445, -57.62418482615846 -38.066466403101614, -57.53560755565065 -38.12941840742306, -57.527221790865724 -38.04490262540561, -57.57269478309984 -38.02042503603733, -57.57828214787813 -38.012639812612036, -57.575647039221124 -38.00107077480942, -57.57326942262956 -37.989499911569446, -57.537872633660285 -37.98529689213127, -57.51644844165039 -37.91433080358256))"
27490,"POLYGON ((-57.07543288729248 -37.34048828572124, -57.03165923616943 -37.35563587450681, -56.818441548275345 -37.0770064222605, -56.85646454327046 -37.057487695053894, -57.07543288729248 -37.34048828572124))"
33027,"POLYGON ((-57.53777992656617 -37.985169169155185, -57.57314217021851 -37.989498589027676, -57.578292011527104 -38.012764843510716, -57.57262718608765 -38.020473543464234, -57.528338550833745 -38.04427072787112, -57.52130043437867 -38.01628119318129, -57.53777992656617 -37.985169169155185))"
