id,zonepolygon
61081,"POLYGON((8.785284520855354 41.61802911052486,8.788717748394417 41.61571908990253,8.790091039410042 41.606478180050466,8.78562784360926 41.601343769253155,8.78562784360926 41.59800618314745,8.79112100767176 41.59441166661011,8.876951696148323 41.610585414523804,8.90922403501551 41.65677378339427,8.879354955425667 41.663442700930894,8.875578405132698 41.64959109985839,8.869398595562386 41.64651256173201,8.865965368023323 41.649334560633235,8.85154581235926 41.64856493682824,8.819960118999886 41.634453537674176,8.811033727398323 41.64112476603626,8.805197240581917 41.643433876498854,8.787687780132698 41.62906473372017,8.792494298687386 41.62444540035504,8.785284520855354 41.61802911052486))"
30420,"POLYGON((9.551267230972051 42.31180953742746,9.562596881850958 42.28470152643679,9.555644596084356 42.24865584069443,9.5305820350492 42.2570736380181,9.524917209609747 42.314221394477386,9.53907927320838 42.31384058108778,9.550108516677618 42.31358670421454,9.551267230972051 42.31180953742746))"
30431,"POLYGON((9.451268425750712 42.77955123528475,9.474485626983622 42.80431998648618,9.492552986907938 42.799360731524345,9.463842621612528 42.74678394856384,9.451483002471903 42.74769788663897,9.443715325164774 42.770478952547876,9.451268425750712 42.77955123528475))"
61085,"POLYGON((9.109684667248859 41.51407340813683,9.101101598401202 41.5224278926808,9.083248815198077 41.523456062396875,9.078785619397296 41.51394486918197,9.067112645764484 41.485402903204815,9.070545873303546 41.4776866991139,9.076725682873859 41.470226828489245,9.099728307385577 41.46611067030412,9.13886710133089 41.48566009418432,9.139553746838702 41.50443227820707,9.109684667248859 41.51407340813683))"
30423,"POLYGON((9.147266856222531 41.39101626331117,9.148468485861203 41.38364302437088,9.179195872335812 41.38518857603143,9.199183693914792 41.38664554682237,9.21745490172424 41.39582934590923,9.231799355535886 41.40449682486954,9.230731836347958 41.408830130855804,9.21783845761337 41.40893674987636,9.232334456234357 41.4221209551732,9.225506222634694 41.437206239386974,9.224838687866113 41.442688711932135,9.12219473981776 41.442856222540016,9.112071496262333 41.43393175358034,9.099113451144776 41.42457802030993,9.144520274191281 41.389470850176224,9.147266856222531 41.39101626331117))"
30418,"POLYGON((8.711026718912116 41.92349812040799,8.739694168863288 41.906349068468955,8.77183776169776 41.938535674369525,8.747418930826178 41.94587756533789,8.711026718912116 41.92349812040799))"
30433,"POLYGON((9.373221494051233 42.04408901264998,9.402833081575647 42.080442515090674,9.495616055818811 42.1014931727804,9.534239865633264 42.08869163846166,9.479050732942834 42.0235612825912,9.418025113435998 41.962959472148334,9.366355038973108 41.981337484090304,9.373221494051233 42.04408901264998))"
30417,"POLYGON((8.77774582106749 41.925673972004034,8.806370355674424 41.936273698765,8.817785837241807 41.92401361429415,8.795341112205186 41.907407660762416,8.77774582106749 41.925673972004034))"
61082,"POLYGON((9.55594759206542 42.208661746088104,9.547107031152334 42.20955179054379,9.532515814111319 42.21114112445119,9.528310110375967 42.18793287930794,9.556805898950186 42.18157296844247,9.559809973046866 42.19778947676098,9.557235052392569 42.201095861885456,9.556119253442374 42.20204959467445,9.55594759206542 42.208661746088104))"
30416,"POLYGON((9.43471218899535 42.73419653435923,9.461834686553944 42.7333927248553,9.456663387573231 42.70619891505171,9.437008159912098 42.70720805769419,9.43471218899535 42.73369218451558,9.43471218899535 42.73419653435923))"
36572,"POLYGON((9.554919728899 42.24846044698692,9.544620046281812 42.251128859796346,9.533118734025953 42.21681209100769,9.537324437761304 42.21306153557942,9.544491300249097 42.21051865944718,9.54865408864021 42.20962862861492,9.556121358537672 42.208802160184455,9.556808004045484 42.216049284218556,9.553889760637281 42.218591937683875,9.554919728899 42.24846044698692))"
30454,"POLYGON((9.322011687648887 42.69726037106837,9.332139708889121 42.69038416043993,9.301326491726035 42.66911986796379,9.291938760173911 42.663431856145216,9.283924319637412 42.66607475577108,9.287121512783164 42.67363203969857,9.29821512926876 42.67765485364182,9.295919158352012 42.68218217981182,9.308879592311973 42.68669340317016,9.318750121486778 42.69574640840199,9.322011687648887 42.69726037106837))"
30419,"POLYGON((9.528023511522958 42.187862563648295,9.556862622851083 42.18143904329868,9.557742387407968 42.1184014844422,9.548665792101572 42.10295268392334,9.533602506273935 42.08937118564448,9.495407849901865 42.10204521845199,9.522444516771982 42.16588633390279,9.528023511522958 42.187862563648295))"
30457,"POLYGON((9.3538233293246 41.8469956142364,9.36953034531581 41.82819514761568,9.403175975198623 41.84827435690433,9.411072398538467 41.90617459328874,9.418153430337783 41.930890823178586,9.41338178050029 41.94831655491926,9.417879845018264 41.96254649651561,9.399410153741714 41.969048047417786,9.365732337350723 41.98102830860312,9.337000514383194 41.87052038758851,9.3538233293246 41.8469956142364))"
30446,"POLYGON((8.689889104249993 42.2710070081511,8.709801823976555 42.26945093836669,8.710102231386223 42.26017723618586,8.68894496667675 42.26306747462151,8.689889104249993 42.2710070081511))"
30430,"POLYGON((9.130703894987716 42.32258305733469,9.173962561979904 42.32385224999552,9.184262244597091 42.29478131813598,9.1490716623217 42.28449537253402,9.130703894987716 42.32258305733469))"
30434,"POLYGON((8.629315808101206 42.42141730402537,8.626569226069956 42.397399079240216,8.67017121581605 42.39936397595891,8.658584072871713 42.41995999577999,8.629315808101206 42.42141730402537))"
30443,"POLYGON((9.442843040373257 42.45972550025333,9.465759834196499 42.42324154083167,9.493311485197475 42.42653610397355,9.490307411100796 42.43934840761335,9.480093559172085 42.45823742107721,9.464815696623257 42.473211583709464,9.441813072111538 42.46504430265362,9.442843040373257 42.45972550025333))"
235475,"POLYGON((9.264087312654485 41.60464558034773,9.261791341737737 41.60061819704448,9.2652193934892 41.59963939261752,9.268373671290714 41.601532804157,9.268910113093693 41.60408400811601,9.26448983263715 41.605191102978445,9.264087312654485 41.60464558034773))"
235487,"POLYGON((9.375392474312036 41.68909144521928,9.380327738899439 41.68543790716781,9.383074320930689 41.688033863436054,9.386722125190943 41.68957215846428,9.384576357979029 41.69107837003781,9.38002733148977 41.692039763240906,9.378096140999048 41.69159111486755,9.375392474312036 41.68909144521928))"
235481,"POLYGON((9.426180057981565 42.5879706546618,9.492613010862424 42.61437927889045,9.465662174680784 42.643409953516894,9.41708200500305 42.63065523801613,9.39459436462219 42.62206643224809,9.426180057981565 42.5879706546618))"
235474,"POLYGON((9.214697343065263 41.61988485811969,9.215351802064896 41.61875395340334,9.221317034914017 41.61949987150655,9.22051237220955 41.62124031352903,9.218806487276078 41.62209046628822,9.21424673195076 41.620743049172845,9.214697343065263 41.61988485811969))"
235477,"POLYGON((8.918935958718958 42.400267376152215,8.921832744455042 42.399348332448646,8.92511576828927 42.40410186152287,8.921811286782923 42.405100056873025,8.918935958718958 42.400267376152215))"
235478,"POLYGON((9.449701078291332 42.6670105905953,9.4479844645218 42.67660283323344,9.44901443278352 42.68101981551928,9.449872739668285 42.686950697818645,9.456310041304027 42.69439504643843,9.460258252973949 42.702280035739406,9.456825025434886 42.70619061895234,9.437598951216136 42.707420509525356,9.422836072798168 42.708650375730954,9.407214887495433 42.687139971972854,9.423179395552074 42.67134335958593,9.449701078291332 42.6670105905953))"
235480,"POLYGON((9.140956225328445 41.88221984239793,9.148380579881668 41.88126129685006,9.15031177037239 41.88787496843779,9.142715754442214 41.88880146678803,9.140956225328445 41.88221984239793))"
30449,"POLYGON((9.26326840872242 41.59075207216774,9.263080654091377 41.588942600365876,9.262935814804573 41.58764665036782,9.26350444311573 41.58576085622556,9.265103039688606 41.584003406995315,9.27049427980854 41.58119861153671,9.273189899868507 41.57982827017149,9.274168906158943 41.57771953288084,9.295605120605964 41.58426823117321,9.292635244674225 41.58783723288144,9.286832956022758 41.59050733504525,9.286300537533302 41.59758026498629,9.28823977465107 41.59946571387039,9.287655053085823 41.604391690552916,9.289747176117439 41.60795356319133,9.298845229095955 41.61037616600314,9.307771620697517 41.61587882641084,9.304942225462932 41.623166271223944,9.292648488081236 41.63104393109884,9.289548608831305 41.6250705835665,9.28507543856575 41.62281814684738,9.280704108423729 41.61695664313865,9.277497527546425 41.60590591156414,9.275290069527168 41.605045517494524,9.270188507980842 41.60319633337131,9.2687401151128 41.60161586068752,9.266444144196052 41.59633664089411,9.264126715607185 41.59216430760214,9.26326840872242 41.59075207216774))"
235479,"POLYGON((9.015387938182045 42.58311878562379,9.020151541392494 42.58375075076313,9.026460096995521 42.58874305016037,9.020108626048255 42.59187093275454,9.016589567820716 42.58833230644346,9.015044615428138 42.5868788838664,9.015387938182045 42.58311878562379))"
235484,"POLYGON((9.33347698947295 41.62133881550051,9.341330497468556 41.62621500372168,9.345922439302052 41.62881334814722,9.350342719758595 41.629743594150575,9.352660148347463 41.62900581393886,9.355363815034474 41.626952815871114,9.3547200848709 41.625124309426106,9.354934661592091 41.621787953517746,9.356522529328908 41.62165962868917,9.358496635163869 41.620665102609216,9.355532468306102 41.6164645981365,9.349524320112742 41.616881686492974,9.345533193098582 41.61684960286899,9.341198743330516 41.61838959881631,9.33347698947295 41.62133881550051))"
235483,"POLYGON((8.972708495347135 41.71187398008507,8.977278979508512 41.709967790930534,8.980733664719693 41.71381214807422,8.975940380022855 41.71590444181237,8.972708495347135 41.71187398008507))"
235485,"POLYGON((8.845065252452832 42.50959437146291,8.85210336890791 42.50168495729599,8.8693553372917 42.51048016353366,8.8598281308708 42.51807215206543,8.845065252452832 42.50959437146291))"
235482,"POLYGON((9.43258021236803 42.5566379461449,9.433309773220081 42.5527179554986,9.421465138210316 42.55195921919153,9.420392254604359 42.557617905333736,9.422709683193226 42.55938811518152,9.432022312892933 42.560115151106196,9.43258021236803 42.5566379461449))"
235486,"POLYGON((9.469834168550797 42.276747505953765,9.476056893465348 42.271666782453416,9.482279618379899 42.27623945203507,9.475627740022965 42.28071653619701,9.469834168550797 42.276747505953765))"
235476,"POLYGON((9.026247292824516 42.45145175901942,9.031440049477348 42.44825350569742,9.040538102455864 42.45458652210789,9.032770425148735 42.4587026393889,9.026247292824516 42.45145175901942))"
235489,"POLYGON((1.5130570167935664 38.95116939560677,1.5216400856412227 38.95103589751456,1.5239766888766404 38.95619385395884,1.5215305142550584 38.96059883762148,1.5103725247531052 38.96016502562928,1.508655910983574 38.958763461040725,1.5130570167935664 38.95116939560677))"
30421,"POLYGON((9.529768433994272 42.43320560023907,9.493398947515184 42.426987526820035,9.490546344886193 42.43910920547221,9.480034621073523 42.4584065223107,9.464901304444888 42.47329477066227,9.454708323455074 42.469704285635565,9.446124081140974 42.49238628035709,9.445992988175371 42.51498566553335,9.453758318549612 42.53280185384337,9.432341214841822 42.56730338941184,9.461089801615694 42.56921851222671,9.481083658164957 42.57018543431145,9.490086492723444 42.57155035907414,9.521967899626711 42.576910017074,9.529130068248728 42.563812756466085,9.53520527166746 42.529045907843575,9.534466323083857 42.521524442441766,9.532525744861582 42.51425513836775,9.530278053707102 42.49562034954274,9.530347791141489 42.4920446191902,9.530379977649668 42.490248765988646,9.530540910190561 42.48848450756972,9.54182764572523 42.45960055948992,9.542128053134897 42.450845695957796,9.542471375888804 42.435517780679305,9.529768433994272 42.43320560023907))"
235488,"POLYGON((8.591995722916046 42.14435580326325,8.585350942341314 42.13702132888859,8.580887746540533 42.132565874973565,8.579943608967291 42.12963783459469,8.580029439655767 42.128110107622035,8.582776021687017 42.12753720050841,8.588857710573432 42.1288103203914,8.598728239748237 42.1298924521747,8.601830610833025 42.13161109407,8.605263838372087 42.131865703718205,8.607581266960954 42.132438571684624,8.608868727288103 42.13950351724981,8.605743771542773 42.14240644420473,8.601280575741992 42.14501569973998,8.591995722916046 42.14435580326325))"
235490,"POLYGON((9.435983169998954 42.51627925274074,9.443192947830985 42.51931587704135,9.44804238172991 42.5255151934577,9.436755646195243 42.52659599167006,9.433966148819755 42.51755763062637,9.435983169998954 42.51627925274074))"
235702,"POLYGON((8.874707020705243 42.61315626184426,8.873333729689618 42.61770407499707,8.877625264113446 42.624588326815086,8.878912724440594 42.62938790521191,8.887951767195004 42.63129027443839,8.89576235984637 42.63027989851497,8.90254298423602 42.62781703848816,8.915074264753597 42.61379582531582,8.892282510232027 42.60415508005646,8.888076806496676 42.60693474032607,8.874707020705243 42.61315626184426))"
235703,"POLYGON((8.762767417536525 41.77169362523723,8.768904311762599 41.766188273247906,8.77937565575674 41.77281384249977,8.773410422907618 41.77767855906996,8.762767417536525 41.77169362523723))"
235700,"POLYGON((9.194707944807936 42.02902381971562,9.19362433236592 42.02797184474937,9.194976165709425 42.027158943079385,9.196317270216872 42.02854565143448,9.194922521529127 42.029246963682596,9.194707944807936 42.02902381971562))"
235701,"POLYGON((8.844589656746216 42.608610810275486,8.851627773201294 42.61319053852613,8.857893413460083 42.612306203443396,8.86621899024231 42.60940044261883,8.874716228401489 42.61306420571166,8.878664440071411 42.61124814318491,8.882784313118286 42.609305687266186,8.88793415442688 42.60687358388444,8.892225688850708 42.60418868416662,8.871368831550903 42.590762449869466,8.857850498115845 42.59973465415922,8.851177162086792 42.60418868416662,8.844589656746216 42.608610810275486))"
235699,"POLYGON((9.486001635604685 42.33338782456358,9.489091540389841 42.32463120145366,9.505742693954295 42.32431390961727,9.508918429427927 42.3262810932077,9.49887623887617 42.33795601357643,9.491838122421091 42.33643332077561,9.486001635604685 42.33338782456358))"
270921,"POLYGON((8.930774905163585 42.637175253781514,8.931794145 42.629881924,8.934001602811499 42.631271195636764,8.936294891311517 42.63259728963969,8.940967299 42.632723583,8.9386606 42.637498856,8.9366221207788 42.63742782161297,8.935012795 42.638998453,8.930774905163585 42.637175253781514))"
271542,"POLYGON((9.138821000819322 42.07301475712375,9.158240194146495 42.07333331353127,9.157553548523456 42.08540541373515,9.138005608557611 42.08564428421931,9.138821000819322 42.07301475712375))"
271537,"POLYGON((9.218755434 41.798482728,9.219452808 41.792683713,9.236640403802262 41.79350760518375,9.23526711267137 41.79982642480503,9.218755434 41.798482728))"
271541,"POLYGON((9.200531977 42.109176326,9.202355879 42.095564317,9.226388472211928 42.09811181548289,9.22342731339258 42.111213896714325,9.200531977 42.109176326))"
271538,"POLYGON((9.395027045 41.720380244,9.386079195685427 41.72130316175343,9.386830214168711 41.714217777865244,9.38794601303709 41.70879159569767,9.406657103191888 41.708262968866926,9.407467130144282 41.71381733730309,9.405273083 41.719499356,9.395027045 41.720380244))"
30428,"POLYGON((9.400050194677005 41.76287955820479,9.391037972386966 41.7623673820083,9.376661332067142 41.7624954264408,9.344388993199955 41.76051070902546,9.318489582952152 41.75506842700299,9.324690850194584 41.726568947547534,9.406015427526127 41.719874539333794,9.406315834935794 41.73521619357366,9.408547432836185 41.74706423271248,9.40794661801685 41.75692525744351,9.406744988378177 41.76230335969628,9.40468505185474 41.76275151453893,9.400050194677005 41.76287955820479))"
