id,zonepolygon
14763,"POLYGON ((116.04016964309676 5.9115906779050444, 116.04634945266707 5.914834889553774, 116.05149929397567 5.915859373489534, 116.05853741043074 5.915005637008192, 116.06368725173934 5.922006237231753, 116.06797878616317 5.931567889287555, 116.07827846878035 5.940446417759364, 116.08583156936629 5.943519721195171, 116.09132473342879 5.950519959385455, 116.09939281814559 5.964520168228782, 116.1107224690245 5.969129914916656, 116.11518566482528 5.981763836594259, 116.12102215164168 5.996787579661676, 116.12891857498153 6.001397054280057, 116.13750164382918 6.015737392536841, 116.1440247761534 6.0246145553059245, 116.14848797195418 6.034857255041404, 116.15878765457137 6.044075519304658, 116.13990490310653 6.056195590718235, 116.11827556961043 6.063023680211743, 116.0890931355284 6.018298127450609, 116.05323727281268 5.979928337283835, 116.03332455308612 5.959782148435369, 116.04016964309676 5.9115906779050444))"
14764,"POLYGON ((115.98520685180665 5.790408499722778, 115.99121500000001 5.784430975823699, 116.00048471435548 5.784089401120737, 116.02451730712892 5.785626485659534, 116.03104043945314 5.7905792851909705, 116.03378702148439 5.799972406397664, 116.03653360351564 5.809365371188672, 116.04545523486638 5.8158151259984106, 116.04871680102849 5.8229877477468905, 116.05077673755193 5.833063418845153, 116.04717184863591 5.842285060871283, 116.05420996509099 5.873193529818067, 116.05970312915349 5.908369037035539, 116.05852529897481 5.915018388950562, 116.0514442671755 5.915914812200694, 116.04633734121114 5.914890328367651, 116.03977129354269 5.911347307149546, 116.03180111382676 5.899107973014939, 115.98520685180665 5.790408499722778))"
14765,"POLYGON ((116.11821592114256 6.063070270902124, 116.13984525463866 6.0560714786688905, 116.1587280061035 6.044122111629106, 116.17469251416014 6.055559368357673, 116.19151532910155 6.081819301831072, 116.20421827099608 6.109129839308935, 116.2110847260742 6.125962761575473, 116.2246459748535 6.1507109520456185, 116.17366254589842 6.163169950208201, 116.16061628124999 6.176140651158435, 116.10946119091795 6.13142453001998, 116.07615888378905 6.108894375243844, 116.09806197792966 6.072486253720149, 116.11821592114256 6.063070270902124))"
