id,zonepolygon
27716,"POLYGON ((-122.4055847564454 47.69911828719185, -122.25447982938242 47.69821568399912, -122.27287978322458 47.73308090862592, -122.39063948781443 47.73469728054566, -122.4055847564454 47.69911828719185))"
81607,"POLYGON ((-123.28981030681376 49.295720127039786, -122.97395337322001 49.297511291788915, -122.69654858806376 49.18454076246896, -122.14723218181376 49.069512360203575, -122.22276318767314 49.00469159106833, -122.97120679118876 49.008294961090805, -123.27058423259501 49.13335013416319, -123.28981030681376 49.295720127039786))"
32996,"POLYGON ((-122.40555494999961 47.699138442482976, -122.41259306645469 47.675940201703185, -122.24170416569785 47.675766826074366, -122.25449293828086 47.69821417697889, -122.40555494999961 47.699138442482976))"
32945,"POLYGON ((-122.36124828670441 47.618435520004695, -122.277606280784 47.61876818773385, -122.28498771999298 47.595794678492055, -122.34459713313996 47.595823618729064, -122.36124828670441 47.618435520004695))"
27980,"POLYGON ((-122.27672289232052 47.61874148977794, -122.27422307351864 47.64723097786024, -122.31361935952938 47.64711533059154, -122.32211659768856 47.652377022093376, -122.33533452371395 47.64266271604691, -122.41180966714657 47.6719927495499, -122.44124959329403 47.66274454587692, -122.42558549264706 47.618200181804596, -122.27672289232052 47.61874148977794))"
32997,"POLYGON ((-122.42163065392344 47.675879078035805, -122.24103925526218 47.67579020769277, -122.27494237721042 47.64792705398888, -122.31408117115573 47.64740664619875, -122.32232091724948 47.652899578043396, -122.3354530125864 47.642780571284064, -122.42163065392344 47.675879078035805))"
16177,"POLYGON ((-122.28501180954197 47.59578725805285, -122.43073086090305 47.59564979168897, -122.36205786855173 47.37535153848121, -122.22431262964886 47.37737290457868, -122.21607288355511 47.50844834640242, -122.25057682032269 47.52583857690063, -122.28501180954197 47.59578725805285))"
