id,zonepolygon
109080,"POLYGON ((-83.03250018170588 42.32945527150011, -83.01140729001277 42.3375609135103, -82.97975722363704 42.353911778172204, -82.9282588105511 42.359239560154684, -82.9198474030804 42.37585426426254, -82.89220992139094 42.38942179251538, -82.87264052441829 42.434794636378285, -82.87470046094172 42.447209412914155, -82.93306532910579 42.44847608853604, -83.22145644238704 42.444422636387294, -83.21527663281672 42.30441794766191, -83.20497695019954 42.29426055373591, -83.22694960644954 42.26885990083279, -83.18025771191829 42.24954855644676, -83.14661208203547 42.24090735612718, -83.13013258984797 42.2470071498047, -83.11227980664485 42.26885990083279, -83.08069411328547 42.31406595422941, -83.0516833405804 42.324664361809525, -83.05962267926448 42.329867716865394, -83.06430045178645 42.33519753674693, -83.0447310548138 42.3436989335227, -83.03250018170588 42.32945527150011))"
109081,"POLYGON ((-83.03279195674611 42.32967321738012, -83.04481587029909 42.343622626817265, -83.06420474828845 42.335185045438095, -83.06159902502161 42.332211112468976, -83.05956193006593 42.329875537095994, -83.05112110387832 42.32430778077561, -83.03279195674611 42.32967321738012))"
109082,"POLYGON ((-83.10330729289728 42.22271161805221, -82.95808176799494 42.22881317054316, -82.94434885783869 42.23694765653258, -82.81919486184711 42.314012968320995, -82.93906311954363 42.34269438000522, -82.9483328338991 42.34129868485836, -82.95571427310809 42.33292386336696, -83.01238709505671 42.32721311834298, -83.06714707430476 42.31198193022376, -83.09082593852361 42.29228640453945, -83.10792508266469 42.25681764301053, -83.10330729289728 42.22271161805221))"
109097,"POLYGON ((-83.47489074393482 42.18631996341723, -83.43781188651295 42.21429668432202, -83.44330505057545 42.27885014812876, -83.4460516326067 42.32252600376008, -83.61771300955982 42.31795669404471, -83.61427978202076 42.228026177834074, -83.6053533904192 42.21277100076444, -83.58475402518482 42.17970547406076, -83.47489074393482 42.18631996341723))"
109084,"POLYGON ((-82.87584315169218 42.4475857202757, -82.86815015671422 42.45417211424119, -82.88256971237828 42.49241017171671, -82.87535993454625 42.522401821945586, -82.84617750046422 42.559460214623684, -82.86162702439 42.57109175940769, -83.03019849655797 42.56654054363731, -83.02530773480996 42.44743882574317, -82.93195018385165 42.44884227535284, -82.87584315169218 42.4475857202757))"
109096,"POLYGON ((-83.32829538501298 42.243944726110676, -83.32864256214215 42.26768796459029, -83.38892488645342 42.26689062653582, -83.39072733091143 42.22835615045747, -83.35933969658525 42.235324798275, -83.34926778951738 42.23760147276767, -83.32829538501298 42.243944726110676))"
109099,"POLYGON ((-83.32800963947989 42.24423889864174, -83.3148373151365 42.24814246344226, -83.30441157282439 42.252554035620804, -83.2774661093183 42.26429819733343, -83.26533423888165 42.265133399562586, -83.253202368445 42.265841555909084, -83.22893862757168 42.26714669155959, -83.22594528231106 42.26828997203791, -83.22703962358914 42.26886160450153, -83.20505917023408 42.29427296086884, -83.21542966000419 42.3043639592161, -83.2165353622029 42.3287889704551, -83.44579414362 42.32280462628857, -83.43813431077889 42.220596929425106, -83.42418682390145 42.22091474381843, -83.39101944985921 42.228364742085276, -83.389158454848 42.26701646516546, -83.32844663284936 42.26783349840169, -83.32800963947989 42.24423889864174))"
109095,"POLYGON ((-83.22867021918924 42.18490282092924, -83.15416918159158 42.18795549720764, -83.14077959418924 42.214914402171374, -83.14115315119008 42.21891031165027, -83.14810543695668 42.229206959323854, -83.14741879144887 42.235099533492715, -83.14442544618825 42.24031029023223, -83.18029245546417 42.24945777476249, -83.20437878582278 42.25934279910735, -83.22586332673451 42.26828630289268, -83.228937184968 42.26709851707533, -83.26146701590062 42.26532003820323, -83.27670196310521 42.26430374203552, -83.31459621206761 42.24804077532272, -83.34910014883519 42.23736592426419, -83.42394450918675 42.22084176107225, -83.42463115469457 42.20075272412184, -83.42051128164769 42.17913080229939, -83.22867021918924 42.18490282092924))"
109101,"POLYGON ((-83.27392225526877 42.70965724225909, -83.44970350526877 42.540909713628494, -83.55819349550315 42.53736819545658, -83.43047743105002 42.74799099292956, -83.26293592714377 42.81955109089655, -83.1983912494094 42.77924571603861, -83.27392225526877 42.70965724225909))"
109109,"POLYGON ((-83.57065556607928 43.02307992760209, -83.69150517545428 43.13842952211883, -83.80411503873553 43.04215266210699, -83.79587529264178 42.940698034628845, -83.73270390592303 42.89041100105233, -83.6049878414699 42.88437379949702, -83.57065556607928 43.02307992760209))"
109102,"POLYGON ((-83.44603861199717 42.53977494668581, -83.03310736635291 42.565159646043185, -83.04335535355824 42.72304730160187, -83.26514185258168 42.714975761351965, -83.44603861199717 42.53977494668581))"
109110,"POLYGON ((-83.84722768657969 43.34186930729088, -83.79504262798594 43.627835273802575, -83.91451894634531 43.66559686768297, -84.29492055767344 43.67255036151331, -84.33611928814219 43.61988243974723, -84.25097524517344 43.3997694764548, -83.84722768657969 43.34186930729088))"
109107,"POLYGON ((-84.36133281910836 42.25804631038309, -84.40459148610054 42.278879175001656, -84.4629563542646 42.278879175001656, -84.47485952708955 42.24584725336823, -84.43947936354346 42.178424915645614, -84.39107085524267 42.17740721987126, -84.28498412428564 42.21759374894032, -84.29837371168799 42.248352228062885, -84.36133281910836 42.25804631038309))"
109111,"POLYGON ((-82.45598969726564 43.0569834445223, -82.46697602539064 42.941983142249676, -82.49512849121095 42.94349108776521, -82.50096497802735 42.93494557482194, -82.49959168701173 42.87282933447542, -82.43848023681642 42.8720745015243, -82.3989810045108 42.952571473342324, -82.37426176622955 42.98296933884371, -82.39657774523346 43.00632277721397, -82.41923704699127 43.002305613443916, -82.45598969726564 43.0569834445223))"
109104,"POLYGON ((-83.15405367634672 42.18776959897023, -83.14263819477934 42.18770600286423, -83.13806059283402 42.13107352409849, -83.1469869844356 42.097837901676975, -83.15522673052934 42.09618203187396, -83.16655638140824 42.08904855999363, -83.18964483660844 42.04094038495752, -83.2005456572432 42.035824336829194, -83.27916656788773 42.06004422972357, -83.30829545347335 42.09998661256508, -83.30486222593429 42.13334841019004, -83.25164719907882 42.183739775883865, -83.20250711495885 42.18486433985269, -83.15405367634672 42.18776959897023))"
