id,zonepolygon
33145,"POLYGON ((55.23094693901347 -21.019416579449413, 55.199361245654096 -21.050179262443887, 55.23541013481425 -21.101436273723422, 55.33085386040019 -21.10175657445644, 55.34115354301738 -21.04825678087443, 55.30682126762675 -21.045693433499917, 55.270772378466596 -21.043770894009963, 55.23094693901347 -21.019416579449413))"
33151,"POLYGON ((55.583018672481906 -21.389111640243254, 55.67382754089011 -21.399980235600644, 55.68756045104636 -21.337954472432425, 55.61391772033347 -21.335236248271464, 55.583018672481906 -21.389111640243254))"
33143,"POLYGON ((55.2828158744132 -20.920042409292755, 55.360406816796015 -20.918759640642616, 55.35834688027258 -20.98256405754326, 55.2663363822257 -20.978717326065805, 55.2828158744132 -20.920042409292755))"
33150,"POLYGON ((55.51083026280418 -21.369530517269887, 55.583271363878396 -21.38903209056222, 55.614513734483864 -21.335636359865124, 55.54619250645652 -21.31612767978775, 55.51083026280418 -21.369530517269887))"
33146,"POLYGON ((55.234838169097785 -21.10143907720761, 55.283246677398566 -21.22278347995284, 55.37010733413685 -21.204540153410967, 55.33165518569935 -21.102079677970533, 55.234838169097785 -21.10143907720761))"
33147,"POLYGON ((55.284508514433824 -21.223127500775867, 55.34527664187523 -21.297357578053628, 55.41325454714867 -21.26376670434608, 55.37068252566429 -21.20456413901704, 55.284508514433824 -21.223127500775867))"
33144,"POLYGON ((55.26579399742847 -20.978330488494567, 55.23077507653003 -21.019838004663036, 55.27180214562183 -21.043070760694615, 55.34166832604175 -21.048357709421786, 55.35814781822925 -20.982497787247173, 55.26579399742847 -20.978330488494567))"
33153,"POLYGON ((55.74038664365235 -21.033864578464147, 55.64494291806641 -21.11907897261917, 55.728027024511725 -21.177355378850454, 55.804931321386725 -21.092815082501485, 55.74038664365235 -21.033864578464147))"
33149,"POLYGON ((55.434475446382194 -21.33828671413947, 55.51069309774938 -21.36930280946214, 55.54674198690954 -21.316859394432083, 55.47533085409704 -21.294789184399175, 55.434475446382194 -21.33828671413947))"
33148,"POLYGON ((55.34328084969495 -21.298730854351835, 55.43460470223401 -21.33838982069295, 55.473743496179324 -21.295532083938276, 55.413318691491824 -21.263220602064226, 55.34328084969495 -21.298730854351835))"
33152,"POLYGON ((55.42628932546462 -20.994348084107717, 55.61031032155837 -20.994348084107717, 55.60481715749587 -21.096882897608786, 55.43452907155837 -21.091757834778345, 55.42628932546462 -20.994348084107717))"
