id,zonepolygon
83931,"POLYGON ((72.97260899566653 18.904542084570075, 72.9864706518555 18.906084895572018, 72.98754353546146 18.89524431709165, 72.97308106445315 18.89382321542095, 72.97260899566653 18.904542084570075))"
75703,"POLYGON ((72.8225274154028 19.01554908522731, 72.90217829430905 19.01684743093946, 72.82046747887937 18.878516765318217, 72.76553583825437 18.890860774115698, 72.80467463219968 19.01554908522731, 72.8225274154028 19.01554908522731))"
105396,"POLYGON ((73.93231860732861 18.738099731804077, 74.08612720107861 18.652244799387844, 74.18569079971142 18.516870133322193, 73.89798633193799 18.423086366037776, 73.78262988662549 18.443280256189688, 73.67413989639111 18.53249577142467, 73.66349689102002 18.748178323832857, 73.79516116714306 18.797099705927998, 73.87197963332959 18.77865427430471, 73.93231860732861 18.738099731804077))"
105399,"POLYGON ((73.08681607736834 18.754245706718432, 73.0737698127199 18.72774842730529, 73.1008923102785 18.71213310182923, 73.11891675485857 18.742696838131376, 73.08681607736834 18.754245706718432))"
105398,"POLYGON ((72.91644015920627 18.608661588264972, 72.87712970388401 18.60638395570541, 72.84005084646213 18.71957785565264, 72.91094699514377 18.71405002473034, 72.99712100637424 18.70510756279967, 73.00707736623752 18.61175261226298, 72.91644015920627 18.608661588264972))"
12721,"POLYGON ((72.92368688146622 19.13097214886616, 72.92645919594021 19.087988637351206, 72.90894973549099 19.0182180669783, 72.80972945961209 19.01951639184498, 72.80354965004177 19.141513567254442, 72.82671106970908 19.16843167270872, 72.85897697546558 19.174674099553943, 72.89604939977677 19.164702317880714, 72.90257253210099 19.134053556152633, 72.92162694494279 19.13324266507229, 72.92368688146622 19.13097214886616))"
105397,"POLYGON ((73.27585282869437 18.83801247244575, 73.3273512417803 18.84873491099889, 73.53197160310843 18.860756224516244, 73.58973565645316 18.838946651519176, 73.56312814302542 18.765658755367486, 73.5643297726641 18.72355661726776, 73.48347726411917 18.609226572375654, 73.2656818921099 18.638121291353617, 73.27585282869437 18.83801247244575))"
75705,"POLYGON ((72.98448638068041 19.172175751989666, 73.0442245398601 19.17476997707685, 73.04147795782885 19.206545918103053, 72.98431472978083 19.296016983143694, 72.89084511526855 19.31967624314549, 72.75312977822725 19.31984140046191, 72.74587708767032 19.459262198178205, 72.85516815734556 19.50909770398439, 73.14367370455986 19.270735987942984, 73.21585292397543 19.202808172402666, 73.21859950600668 19.168437225941165, 73.13208217202231 19.10226920155354, 73.14089412969082 19.022451593000497, 73.15499855869967 18.979833854016274, 73.13645912998874 18.954508655804986, 73.09251381748874 18.97658724876162, 73.08152748936374 18.98113247840284, 73.09388710850436 18.99996139403658, 73.07672097080905 19.025928816090936, 73.00221993321139 18.993144273965427, 72.90437294834811 18.99801367393855, 72.93252541416842 19.103157886162123, 72.98448638068041 19.172175751989666))"
75704,"POLYGON ((72.76827151852076 19.19471108475503, 72.75591189938014 19.296165715466447, 72.84448916988795 19.322086536280942, 72.98250491695826 19.28838866826373, 73.03606326656764 19.22875237506055, 73.04224307613795 19.175580030572377, 73.01031406002467 19.175255756264438, 72.98095996456568 19.1730668879926, 72.9842215307278 19.179309139238494, 72.86474521236842 19.25338738572857, 72.80809695797389 19.217406061440336, 72.78887088375514 19.186604977233856, 72.76827151852076 19.19471108475503))"
75702,"POLYGON ((72.92897689962798 19.130368191407673, 72.92897689962798 19.10490374401813, 72.9461430373233 19.09987526847086, 72.98322189474517 19.17804264694175, 72.86305893087798 19.252607647889246, 72.80744064474517 19.21630195928676, 72.77722824240142 19.160531182886732, 72.78752792501861 19.123556430627712, 72.82357681417876 19.17123285423563, 72.85962570333892 19.177394107381904, 72.89893615866119 19.166368544293302, 72.90597427511626 19.13328743147153, 72.92520034933501 19.133936144478486, 72.92897689962798 19.130368191407673))"
